longitude,latitude
107.07621,10.56005
107.07749,10.52824
107.04801,10.5861
107.06743,10.62966
107.05039,10.62194
107.24519,10.38215
106.381973,11.291592
107.152898,10.721311
107.19915,10.49865
107.1959,10.48996
107.16431,10.49855
106.560701,11.14262
107.08279,10.3439
106.94573,10.74844
106.944969,10.743139
106.548345,11.467716
106.442814,11.421644
106.376167,11.328894
106.768991,10.933973
105.792496,10.010958
105.7747,10.00599
106.66282,10.80009
106.668215,10.807121
106.64631,10.79757
106.64243,10.792643
106.64979,10.795881
106.66114,10.76137
106.67461,10.76264
106.67707,10.77564
106.6739,10.7752
106.67571,10.77157
106.66765,10.76383
106.67161,10.76891
106.66451,10.76344
106.66702,10.76683
106.67058,10.76181
106.670622,10.766535
106.69155,10.76081
106.69869,10.778696
106.69576,10.76311
106.68943,10.757368
106.69972,10.781084
106.704284,10.77054
106.677001,10.78579
106.68907,10.78772
106.685848,10.790705
106.674838,10.788836
106.680614,10.770376
106.680101,10.78294
106.691864,10.783159
106.684317,10.808962
106.68063,10.80927
106.66932,10.7966
106.67665,10.80411
106.6806,10.80653
106.68927,10.79727
106.68079,10.80143
106.68732,10.79963
106.671753,10.799743
106.70633,10.79886
106.69282,10.80287
106.70905,10.79509
106.695192,10.805921
106.698285,10.796491
106.70892,10.80177
106.630863,10.796867
106.634531,10.798833
106.68262,10.76025
106.662263,10.758355
106.63194,10.77618
106.68923,10.74871
104.986681,9.118437
104.81274,8.95732
104.846375,8.991303
105.068428,9.015172
105.144607,9.177458
105.214605,9.001603
104.846264,8.966389
105.4186,9.31609
105.404585,9.149358
105.40421,9.169944
106.709811,10.739832
108.023281,10.842835
105.604945,9.643222
105.593772,9.892962
105.548629,9.817998
105.41801,9.743684
105.579546,9.690052
105.700949,9.788877
105.681808,9.777367
105.817092,9.79836
105.827775,9.93717
105.568881,9.894548
105.62565,9.93704
105.76239,10.280664
105.5034,10.93657
105.49532,10.81895
105.20655,10.87598
105.25637,10.81181
105.743692,10.401166
106.045284,10.614602
106.2464,10.6841
105.878391,10.842046
105.796311,10.913126
105.164035,9.175705
105.037323,8.91159
105.153079,9.161553
105.152372,9.133366
105.172418,9.092475
106.62646,10.10715
106.55923,9.97708
106.64223,10.15131
106.07695,9.92962
105.132939,9.4364
105.133319,9.417019
104.998795,8.851757
105.109152,9.451354
105.030592,8.867719
104.953216,8.630156
104.952125,8.705568
105.12298,9.30476
105.091771,9.483945
105.073654,9.241258
105.07307,9.337029
